Total excluding LULUCF
Total including LULUCF
1
1A
1A1
1A1a
1A1b
1A1c
1A2
1A3
1A3a
1A3b
1A3c
1A3d
1A3e
1A4
1A4a
1A4b
1A4c
1A5
1B
1B1
1B2
1C
2
2A
2A1
2B
2C
2C1
2D
2E
2F
2G
2H
3
3A
3B
3C
3D
3E
3F
3G
3H
3I
3J
4
4A
4B
4C
4D
4E
4F
4G
4H
5
5A
5B
5C
5D
5E
Memo items
International bunkers
IBAviation
IBNavigation
CO2 emissions from biomass
CO2 captured
Indirect CO2 (if available)
