NOx(as NO2), 
NMVOC,
SOx (as SO2),
NH3,
PM2.5,
PM10,
TSP,
BC,
CO,
Pb,
Cd,
Hg,
As,
Cr,
Cu,
Ni,
Se,
Zn,
PCDD/ PCDF (dioxins/ furans),
benzo(a) pyrene,
benzo(b) fluoranthene,
benzo(k) fluoranthene,
Indeno (1,2,3-cd) pyrene,
Total 1-4,
HCB,
PCBs,
Liquid Fuels,
Solid Fuels,
Gaseous Fuels,
Biomass,
Other Fuels,
Other activity (specified)
