C_1A1a
C_1A1b
C_1A1c
C_1A2
C_1A3
C_1A4ai
C_1A4bi
C_1A4ci
C_1B1
C_1B2
C_2A1
C_2A2
C_2A3
C_2A4
C_2C1
C_2D1
CH4_1A1a
CH4_1A1b
CH4_1A2
CH4_1A3
CH4_1A4ai
CH4_1A4bi
CH4_1A4ci
CH4_1B1
CH4_1B2
SOx_2A4
SOx_1A4cii
SOx_1A4ci
SOx_1A4bi
SOx_1A4ai
SOx_1A2
SOx_1A1c
SOx_1A1b
SOx_1A1a
PM_2A4
PM_1A4cii
PM_1A4ci
PM_1A4bi
PM_1A4ai
PM_1A3
PM_1A2
PM_1A1c
PM_1A1b
PM_1A1a
NOx_2A4
NOx_1A4cii
NOx_1A4ci
NOx_1A4bi
NOx_1A4ai
NOx_1A3
NOx_1A2
NOx_1A1c
NOx_1A1b
NOx_1A1a
N2O_1A4ci
N2O_1A4bi
N2O_1A4ai
N2O_1A3
N2O_1A2
N2O_1A1b
N2O_1A1a
